case,category,power_w,temp_c,q0_ah,discharge_time_h,delta_vs_baseline_pct
baseline,baseline,5.0,25,5.0,3.2447222222222223,0.0
temp_-10C,temperature,5.0,-10,5.0,1.42,-56.23662357674857
temp_0C,temperature,5.0,0,5.0,1.9058333333333333,-41.26359044602346
temp_10C,temperature,5.0,10,5.0,2.4363888888888887,-24.9122506634706
temp_25C,temperature,5.0,25,5.0,3.2447222222222223,0.0
temp_40C,temperature,5.0,40,5.0,3.9786111111111113,22.617926547384638
temp_50C,temperature,5.0,50,5.0,4.395833333333333,35.47641469052305
q0_90pct,capacity,5.0,25,4.5,2.936111111111111,-9.511171988699607
q0_100pct,capacity,5.0,25,5.0,3.2447222222222223,0.0
q0_110pct,capacity,5.0,25,5.5,3.5533333333333332,9.511171988699596
power_80pct,power,4.0,25,5.0,4.090277777777778,26.059412721513553
power_100pct,power,5.0,25,5.0,3.2447222222222223,0.0
power_120pct,power,6.0,25,5.0,2.6775,-17.481380018834002
