Scenario,SOC_Interval,TTE_Loss_hours,Total_TTE_hours,Power_W
Standby,100%→90%,2.7094444444444434,22.68611111111111,0.7413
Standby,90%→80%,2.5394444444444453,22.68611111111111,0.7413
Standby,80%→70%,2.43611111111111,22.68611111111111,0.7413
Standby,70%→60%,2.3738888888888887,22.68611111111111,0.7413
Standby,60%→50%,2.3355555555555565,22.68611111111111,0.7413
Standby,50%→40%,2.3116666666666656,22.68611111111111,0.7413
Standby,40%→30%,2.296111111111111,22.68611111111111,0.7413
Standby,30%→20%,2.285,22.68611111111111,0.7413
Standby,20%→10%,2.272222222222222,22.68611111111111,0.7413
Navigation,100%→90%,1.0872222222222225,9.071111111111112,1.8445700000000003
Navigation,90%→80%,1.0188888888888892,9.071111111111112,1.8445700000000003
Navigation,80%→70%,0.9772222222222222,9.071111111111112,1.8445700000000003
Navigation,70%→60%,0.9516666666666662,9.071111111111112,1.8445700000000003
Navigation,60%→50%,0.9361111111111118,9.071111111111112,1.8445700000000003
Navigation,50%→40%,0.925555555555555,9.071111111111112,1.8445700000000003
Navigation,40%→30%,0.9183333333333334,9.071111111111112,1.8445700000000003
Navigation,30%→20%,0.9116666666666666,9.071111111111112,1.8445700000000003
Navigation,20%→10%,0.9022222222222223,9.071111111111112,1.8445700000000003
Gaming,100%→90%,0.46499999999999986,3.8433333333333333,4.302986999999999
Gaming,90%→80%,0.43500000000000005,3.8433333333333333,4.302986999999999
Gaming,80%→70%,0.41722222222222216,3.8433333333333333,4.302986999999999
Gaming,70%→60%,0.40555555555555545,3.8433333333333333,4.302986999999999
Gaming,60%→50%,0.39833333333333343,3.8433333333333333,4.302986999999999
Gaming,50%→40%,0.39388888888888896,3.8433333333333333,4.302986999999999
Gaming,40%→30%,0.3894444444444445,3.8433333333333333,4.302986999999999
Gaming,30%→20%,0.3844444444444445,3.8433333333333333,4.302986999999999
Gaming,20%→10%,0.37555555555555553,3.8433333333333333,4.302986999999999
Video,100%→90%,0.7711111111111117,6.417222222222223,2.5982800000000004
Video,90%→80%,0.722777777777778,6.417222222222223,2.5982800000000004
Video,80%→70%,0.6927777777777777,6.417222222222223,2.5982800000000004
Video,70%→60%,0.6744444444444442,6.417222222222223,2.5982800000000004
Video,60%→50%,0.6633333333333331,6.417222222222223,2.5982800000000004
Video,50%→40%,0.6550000000000002,6.417222222222223,2.5982800000000004
Video,40%→30%,0.6499999999999999,6.417222222222223,2.5982800000000004
Video,30%→20%,0.6444444444444444,6.417222222222223,2.5982800000000004
Video,20%→10%,0.635,6.417222222222223,2.5982800000000004
Reading,100%→90%,1.161666666666667,9.692777777777778,1.72727
Reading,90%→80%,1.088333333333333,9.692777777777778,1.72727
Reading,80%→70%,1.0438888888888886,9.692777777777778,1.72727
Reading,70%→60%,1.0166666666666666,9.692777777777778,1.72727
Reading,60%→50%,0.9994444444444444,9.692777777777778,1.72727
Reading,50%→40%,0.9888888888888894,9.692777777777778,1.72727
Reading,40%→30%,0.9811111111111108,9.692777777777778,1.72727
Reading,30%→20%,0.9744444444444447,9.692777777777778,1.72727
Reading,20%→10%,0.9649999999999999,9.692777777777778,1.72727
